title;link;rub_price;year;mileage;engine_capacity;hp;fuel_type;gearbox;carbody;city;ad_living_time;transmission;color
27.0;https://auto.ru/cars/used/sale/mercedes/gls_klasse/1104708792-70195773/;5060000.0;2018.0;98000.0;3.0;249.0;1.0;1.0;3.0;104.0;22 минуты назад;0.0;11.0
27.0;https://auto.ru/cars/used/sale/mercedes/e_klasse/1104897575-885de078/;4700000.0;2021.0;1000.0;1.6;160.0;1.0;1.0;15.0;104.0;22 минуты назад;2.0;1.0
51.0;https://auto.ru/cars/used/sale/nissan/qashqai/1104954511-10b04ba6/;1380000.0;2017.0;133000.0;2.0;144.0;0.0;0.0;3.0;104.0;22 минуты назад;0.0;8.0
54.0;https://auto.ru/cars/used/sale/audi/q8/1104720038-a92eadce/;;2019.0;33000.0;3.0;231.0;1.0;1.0;3.0;135.0;NODATA;0.0;8.0
8.0;https://auto.ru/cars/used/sale/land_rover/range_rover/1103517489-e6dde940/;1190000.0;2008.0;194000.0;4.4;306.0;0.0;1.0;3.0;104.0;1 час назад;0.0;1.0
61.0;https://auto.ru/cars/used/sale/ford/focus/1105049270-ca56fc93/;850000.0;2017.0;116000.0;1.5;105.0;1.0;3.0;1.0;104.0;1 час назад;1.0;11.0
26.0;https://auto.ru/cars/used/sale/toyota/camry/1105291292-7dfab546/;810000.0;2009.0;195000.0;3.5;277.0;0.0;1.0;15.0;5.0;1 час назад;1.0;1.0
27.0;https://auto.ru/cars/used/sale/mercedes/gl_klasse/1105058048-971871b3/;1720000.0;2012.0;147000.0;4.0;306.0;1.0;1.0;3.0;104.0;21 минута назад;0.0;11.0
17.0;https://auto.ru/cars/used/sale/mini/hatch/1103407609-345dd53c/;4760000.0;2020.0;1000.0;2.0;231.0;0.0;1.0;11.0;104.0;32 минуты назад;1.0;8.0
18.0;https://auto.ru/cars/used/sale/renault/kaptur/1104916481-2286464b/;1040000.0;2018.0;66000.0;2.0;143.0;0.0;1.0;3.0;51.0;2 часа назад;0.0;8.0
26.0;https://auto.ru/cars/used/sale/toyota/land_cruiser_prado/1105060574-16094f1d/;2250000.0;2012.0;222000.0;3.0;173.0;1.0;1.0;3.0;104.0;21 минута назад;0.0;1.0
12.0;https://auto.ru/cars/used/sale/skoda/octavia/1104889654-86cf1320/;1280000.0;2017.0;39000.0;1.8;180.0;0.0;2.0;7.0;114.0;21 минута назад;1.0;11.0
26.0;https://auto.ru/cars/used/sale/toyota/rav_4/1105079656-edaac3c9/;1950000.0;2018.0;23000.0;2.0;146.0;0.0;3.0;3.0;104.0;21 минута назад;0.0;5.0
37.0;https://auto.ru/cars/used/sale/volvo/xc90/1104669956-aa6eb23b/;3650000.0;2017.0;111000.0;2.0;190.0;1.0;1.0;3.0;104.0;22 минуты назад;0.0;8.0
50.0;https://auto.ru/cars/used/sale/chevrolet/captiva/1104083063-9d0e7f98/;1150000.0;2013.0;168000.0;2.4;167.0;0.0;1.0;3.0;5.0;1 час назад;0.0;1.0
18.0;https://auto.ru/cars/used/sale/renault/logan/1105030450-7ea67100/;580000.0;2019.0;86000.0;1.6;102.0;0.0;1.0;15.0;51.0;2 часа назад;1.0;11.0
37.0;https://auto.ru/cars/used/sale/volvo/xc60/1104054919-7f7bce87/;1220000.0;2011.0;210000.0;2.0;136.0;1.0;3.0;3.0;104.0;22 минуты назад;1.0;5.0
51.0;https://auto.ru/cars/used/sale/nissan/micra/1105101243-b59290fa/;500000.0;2010.0;78000.0;1.2;65.0;0.0;3.0;11.0;104.0;21 минута назад;1.0;11.0
8.0;https://auto.ru/cars/used/sale/land_rover/range_rover/1103905136-72e4cf14/;3050000.0;2014.0;215000.0;4.4;339.0;1.0;1.0;3.0;104.0;22 минуты назад;0.0;1.0
48.0;https://auto.ru/cars/used/sale/vaz/largus/1105209457-b950cb6f/;770000.0;2019.0;68000.0;1.6;105.0;0.0;3.0;9.0;104.0;21 минута назад;1.0;0.0
51.0;https://auto.ru/cars/used/sale/nissan/juke/1104934263-b941f94c/;970000.0;2014.0;154000.0;1.6;94.0;0.0;3.0;3.0;104.0;22 минуты назад;1.0;8.0
18.0;https://auto.ru/cars/used/sale/renault/koleos/1104814057-e47bc416/;2160000.0;2017.0;53000.0;2.0;177.0;1.0;0.0;3.0;104.0;22 минуты назад;0.0;8.0
13.0;https://auto.ru/cars/used/sale/mazda/cx_5/1105099512-50b8d471/;1750000.0;2014.0;129000.0;2.0;155.0;0.0;3.0;3.0;104.0;21 минута назад;1.0;1.0
